"","X","sale_date","address","county","price","nfmp","vx","desc","year","price_adj","town","provence"
"256837",256884,"2017-06-06","radharc na mara, westtown, tramore","waterford",330000,"No","No","Second-Hand Dwelling house /Apartment",2017,330000,"tramore","munster"
"257016",257063,"2017-06-08","10 the estuary, somerville, tramore","waterford",185000,"No","No","Second-Hand Dwelling house /Apartment",2017,185000,"tramore","munster"
"257067",257114,"2017-06-08","31 cluain larach, knockenduff, tramore","waterford",255506,"No","Yes","New Dwelling house /Apartment",2017,289999.31,"tramore","munster"
"257183",257230,"2017-06-08","the cranny, cove rd, tramore","waterford",1e+05,"No","No","Second-Hand Dwelling house /Apartment",2017,1e+05,"tramore","munster"
"257709",257756,"2017-06-13","16 pebble dr, pebble beach, tramore","waterford",80000,"No","No","Second-Hand Dwelling house /Apartment",2017,80000,"tramore","munster"
"257998",258045,"2017-06-14","cedars, 11 sweet briar park, tramore","waterford",160000,"No","No","Second-Hand Dwelling house /Apartment",2017,160000,"tramore","munster"
"258028",258075,"2017-06-15","1 bellevue tce, tramore, waterford","waterford",162500,"No","No","Second-Hand Dwelling house /Apartment",2017,162500,"tramore","munster"
"259136",259183,"2017-06-22","10 doneraile place, tramore, waterford","waterford",150000,"No","No","Second-Hand Dwelling house /Apartment",2017,150000,"tramore","munster"
"259192",259239,"2017-06-22","29 cluain larach, knockenduff, tramore","waterford",217621,"No","Yes","New Dwelling house /Apartment",2017,246999.835,"tramore","munster"
"259493",259540,"2017-06-23","51a monvoy valley, tramore, waterford","waterford",196500,"No","No","Second-Hand Dwelling house /Apartment",2017,196500,"tramore","munster"
"260582",260629,"2017-06-30","29 pebble dr, pebble beach, tramore","waterford",106000,"No","No","Second-Hand Dwelling house /Apartment",2017,106000,"tramore","munster"
"260878",260925,"2017-07-03","118 roselawn, tramore, co waterford","waterford",165000,"No","No","Second-Hand Dwelling house /Apartment",2017,165000,"tramore","munster"
"261030",261077,"2017-07-03","strand st, tramore, waterford","waterford",1e+05,"No","No","Second-Hand Dwelling house /Apartment",2017,1e+05,"tramore","munster"
"261113",261160,"2017-07-04","32 cluain larack, tramore","waterford",237885.46,"No","Yes","New Dwelling house /Apartment",2017,269999.9971,"tramore","munster"
"261386",261433,"2017-07-05","glen rd, crobally, tramore","waterford",185000,"No","No","Second-Hand Dwelling house /Apartment",2017,185000,"tramore","munster"
"261785",261832,"2017-07-07","4 peter st, tramore, waterford","waterford",80000,"Yes","No","Second-Hand Dwelling house /Apartment",2017,80000,"tramore","munster"
"262139",262186,"2017-07-10","hilltop, moonvoy, tramore","waterford",101385,"No","No","Second-Hand Dwelling house /Apartment",2017,101385,"tramore","munster"
"262195",262242,"2017-07-11","19 castlewoods, ballinamona, old tramore rd","waterford",610000,"No","No","Second-Hand Dwelling house /Apartment",2017,610000,"tramore","munster"
"262459",262506,"2017-07-12","ard na mara, old waterford rd, tramore","waterford",250000,"No","No","Second-Hand Dwelling house /Apartment",2017,250000,"tramore","munster"
"263906",263953,"2017-07-21","11 the walk, fairfield park, old tramore rd","waterford",160000,"No","No","Second-Hand Dwelling house /Apartment",2017,160000,"tramore","munster"
"263930",263977,"2017-07-21","151 cluain larach, knockenduff, tramore","waterford",181651,"No","Yes","New Dwelling house /Apartment",2017,206173.885,"tramore","munster"
"263992",264039,"2017-07-21","30 cluain larach, knockenduff, tramore","waterford",167639,"No","Yes","New Dwelling house /Apartment",2017,190270.265,"tramore","munster"
"264202",264249,"2017-07-22","1 maple court, ballycarnane woods, tramore","waterford",143000,"No","No","Second-Hand Dwelling house /Apartment",2017,143000,"tramore","munster"
"264410",264457,"2017-07-25","152 cluain larch, knockenduff, tramore","waterford",171806,"No","Yes","New Dwelling house /Apartment",2017,194999.81,"tramore","munster"
"264587",264634,"2017-07-26","15 gleann doire, the glen, tramore","waterford",107000,"No","No","Second-Hand Dwelling house /Apartment",2017,107000,"tramore","munster"
"264590",264637,"2017-07-26","153 cluain larach, knockenduff, tramore","waterford",264317,"No","Yes","New Dwelling house /Apartment",2017,299999.795,"tramore","munster"
"265511",265558,"2017-07-31","150 cluain larach, knockenduff, tramore","waterford",173831.16,"No","Yes","New Dwelling house /Apartment",2017,197298.3666,"tramore","munster"
"265611",265658,"2017-07-31","55 atlantic coast apts, tramore, co waterford","waterford",83500,"No","No","Second-Hand Dwelling house /Apartment",2017,83500,"tramore","munster"
"266318",266365,"2017-08-03","5 tramore villas, strand rd, tramore","waterford",85000,"No","No","Second-Hand Dwelling house /Apartment",2017,85000,"tramore","munster"
"266634",266681,"2017-08-04","6 cliff rd, tramore, co waterford","waterford",685000,"No","No","Second-Hand Dwelling house /Apartment",2017,685000,"tramore","munster"
"266746",266793,"2017-08-04","the gables, westown, tramore","waterford",480000,"No","No","Second-Hand Dwelling house /Apartment",2017,480000,"tramore","munster"
"267348",267395,"2017-08-11","2 mountain view, old tramore rd, waterford","waterford",186000,"No","No","Second-Hand Dwelling house /Apartment",2017,186000,"tramore","munster"
"267380",267427,"2017-08-11","3 ross mhuir, upper corbally, tramore","waterford",163000,"No","No","Second-Hand Dwelling house /Apartment",2017,163000,"tramore","munster"
"267984",268031,"2017-08-16","67 meadowbrook, tramore, co waterford","waterford",179000,"No","No","Second-Hand Dwelling house /Apartment",2017,179000,"tramore","munster"
"267991",268038,"2017-08-16","72 glenside, ballycarnane woods, tramore","waterford",192000,"No","No","Second-Hand Dwelling house /Apartment",2017,192000,"tramore","munster"
"268171",268218,"2017-08-17","59 ardleigh, bracken grove, old tramore rd","waterford",188000,"No","No","Second-Hand Dwelling house /Apartment",2017,188000,"tramore","munster"
"268398",268445,"2017-08-18","54 meadowbrook, tramore, waterford","waterford",227500,"No","No","Second-Hand Dwelling house /Apartment",2017,227500,"tramore","munster"
"268528",268575,"2017-08-18","south park, tramore, waterford","waterford",320000,"No","No","Second-Hand Dwelling house /Apartment",2017,320000,"tramore","munster"
"268729",268776,"2017-08-22","11 the strand, somerville, tramore","waterford",190000,"No","No","Second-Hand Dwelling house /Apartment",2017,190000,"tramore","munster"
"269185",269232,"2017-08-24","45 pebble dr, pebble beach, tramore","waterford",76000,"No","No","Second-Hand Dwelling house /Apartment",2017,76000,"tramore","munster"
"269611",269658,"2017-08-28","12 suncrest, clarinwood, tramore","waterford",159000,"No","No","Second-Hand Dwelling house /Apartment",2017,159000,"tramore","munster"
"269624",269671,"2017-08-28","154 cluain larach, knockenduff, tramore","waterford",255506.6,"No","Yes","New Dwelling house /Apartment",2017,289999.991,"tramore","munster"
"269653",269700,"2017-08-28","24 barra glas, tramore, co waterford","waterford",225000,"No","No","Second-Hand Dwelling house /Apartment",2017,225000,"tramore","munster"
"269689",269736,"2017-08-28","5 ardhaven, spring hill, tramore","waterford",3e+05,"No","No","Second-Hand Dwelling house /Apartment",2017,3e+05,"tramore","munster"
"270140",270187,"2017-08-30","clodiagh, moonvoy, tramore","waterford",270000,"No","No","Second-Hand Dwelling house /Apartment",2017,270000,"tramore","munster"
"270301",270348,"2017-08-31","35 ard na groi, crobally upper, tramore","waterford",265000,"No","No","Second-Hand Dwelling house /Apartment",2017,265000,"tramore","munster"
"271069",271116,"2017-09-05","35 tramore villas, tramore, waterford","waterford",78000,"No","No","Second-Hand Dwelling house /Apartment",2017,78000,"tramore","munster"
"271644",271691,"2017-09-08","18 pebble grove, pebble beach, tramore","waterford",77500,"No","No","Second-Hand Dwelling house /Apartment",2017,77500,"tramore","munster"
"271722",271769,"2017-09-08","4 pebble walk, pebble beach, tramore","waterford",80000,"No","No","Second-Hand Dwelling house /Apartment",2017,80000,"tramore","munster"
"271857",271904,"2017-09-08","fernleigh, garrarus, tramore","waterford",390000,"No","No","Second-Hand Dwelling house /Apartment",2017,390000,"tramore","munster"
"272689",272736,"2017-09-15","156 cluain larach, tramore","waterford",273128,"No","Yes","New Dwelling house /Apartment",2017,310000.28,"tramore","munster"
"273093",273140,"2017-09-18","74 monvoy valley, tramore, waterford","waterford",230000,"No","No","Second-Hand Dwelling house /Apartment",2017,230000,"tramore","munster"
"273373",273421,"2017-09-20","2 atlantic view, church rd, tramore","waterford",112500,"No","No","Second-Hand Dwelling house /Apartment",2017,112500,"tramore","munster"
"273557",273605,"2017-09-21","155 cluain larach, knockenduff, tramore","waterford",237885,"No","Yes","New Dwelling house /Apartment",2017,269999.475,"tramore","munster"
"273612",273660,"2017-09-21","34 cluain larach, knockenduff, tramore","waterford",211454,"No","Yes","New Dwelling house /Apartment",2017,240000.29,"tramore","munster"
"274002",274050,"2017-09-22","rockvale, church rd, tramore","waterford",152500,"No","No","Second-Hand Dwelling house /Apartment",2017,152500,"tramore","munster"
"274938",274986,"2017-09-29","157 cluain larach, knockenduff, tramore","waterford",171806,"No","Yes","New Dwelling house /Apartment",2017,194999.81,"tramore","munster"
"275300",275348,"2017-10-01","3 pebble walk, tramore, waterford","waterford",85000,"No","No","Second-Hand Dwelling house /Apartment",2017,85000,"tramore","munster"
"276065",276113,"2017-10-05","cliff rd, tramore, co waterford","waterford",510000,"No","No","Second-Hand Dwelling house /Apartment",2017,510000,"tramore","munster"
"276233",276281,"2017-10-06","31 crobally heights, (crobally upper), tramore","waterford",108000,"Yes","No","Second-Hand Dwelling house /Apartment",2017,108000,"tramore","munster"
"276698",276746,"2017-10-10","29 elm park, tramore, waterford","waterford",180000,"No","No","Second-Hand Dwelling house /Apartment",2017,180000,"tramore","munster"
"276918",276966,"2017-10-11","158 cluain larach, knockenduff, tramore","waterford",171806,"No","Yes","New Dwelling house /Apartment",2017,194999.81,"tramore","munster"
"277114",277163,"2017-10-12","160 cluain larach, knockenduff, tramore","waterford",229075,"No","Yes","New Dwelling house /Apartment",2017,260000.125,"tramore","munster"
"277502",277551,"2017-10-13","carriglong, tramore, waterford","waterford",150000,"No","No","Second-Hand Dwelling house /Apartment",2017,150000,"tramore","munster"
"278033",278082,"2017-10-18","69 tramore heights, tramore, waterford","waterford",195000,"No","No","Second-Hand Dwelling house /Apartment",2017,195000,"tramore","munster"
"278129",278178,"2017-10-19","1 beech avenue, monvoy, tramore","waterford",272500,"No","No","Second-Hand Dwelling house /Apartment",2017,272500,"tramore","munster"
"278255",278304,"2017-10-19","61 beech dr, greenfields, old tramore road","waterford",156000,"No","No","Second-Hand Dwelling house /Apartment",2017,156000,"tramore","munster"
"278260",278309,"2017-10-19","64 the strand somerville, tramore, waterford","waterford",195000,"No","No","Second-Hand Dwelling house /Apartment",2017,195000,"tramore","munster"
"278381",278430,"2017-10-20","159 cluain larach, knockenduff, tramore","waterford",171806.16,"No","Yes","New Dwelling house /Apartment",2017,194999.9916,"tramore","munster"
"278556",278605,"2017-10-20","99 roselawn, tramore, co waterford","waterford",177000,"No","No","Second-Hand Dwelling house /Apartment",2017,177000,"tramore","munster"
"278868",278917,"2017-10-24","13 moon lawn, tramore, co. waterford","waterford",122500,"No","No","Second-Hand Dwelling house /Apartment",2017,122500,"tramore","munster"
"278890",278939,"2017-10-24","18 pebble place, pebble beach, tramore","waterford",1e+05,"No","No","Second-Hand Dwelling house /Apartment",2017,1e+05,"tramore","munster"
"279803",279852,"2017-10-27","48 cluain mhor, tramore, waterford","waterford",222500,"No","No","Second-Hand Dwelling house /Apartment",2017,222500,"tramore","munster"
"280049",280098,"2017-10-30","59 seafield, crobally upper, tramore","waterford",175000,"No","No","Second-Hand Dwelling house /Apartment",2017,175000,"tramore","munster"
"280190",280239,"2017-10-31","39 meadowbrook, tramore, waterford","waterford",2e+05,"No","No","Second-Hand Dwelling house /Apartment",2017,2e+05,"tramore","munster"
"280335",280384,"2017-10-31","newtown lane, tramore, co waterford","waterford",436000,"No","No","Second-Hand Dwelling house /Apartment",2017,436000,"tramore","munster"
"280992",281041,"2017-11-03","gleann na neam, cullencastle, tramore","waterford",190000,"No","No","Second-Hand Dwelling house /Apartment",2017,190000,"tramore","munster"
"281158",281207,"2017-11-06","atlantic breeze, lower branch rd, tramore","waterford",420000,"No","No","Second-Hand Dwelling house /Apartment",2017,420000,"tramore","munster"
"281836",281885,"2017-11-10","147 cluain larach, knockenduff, tramore","waterford",171806.16,"No","Yes","New Dwelling house /Apartment",2017,194999.9916,"tramore","munster"
"282219",282268,"2017-11-13","27 barra glas, crobally upper, tramore","waterford",225000,"No","No","Second-Hand Dwelling house /Apartment",2017,225000,"tramore","munster"
"282385",282434,"2017-11-14","3 rocklands, pond rd, tramore","waterford",380000,"No","No","Second-Hand Dwelling house /Apartment",2017,380000,"tramore","munster"
"282849",282899,"2017-11-16","22 glenside, ballycarnane woods, tramore","waterford",190000,"No","No","Second-Hand Dwelling house /Apartment",2017,190000,"tramore","munster"
"283264",283314,"2017-11-17","adliya, doneraile place, tramore","waterford",440000,"No","No","Second-Hand Dwelling house /Apartment",2017,440000,"tramore","munster"
"283281",283331,"2017-11-17","armstrong cottage, st leder place, tramore","waterford",173000,"No","No","Second-Hand Dwelling house /Apartment",2017,173000,"tramore","munster"
"283291",283341,"2017-11-17","brosna, 4 market street, tramore","waterford",138000,"No","No","Second-Hand Dwelling house /Apartment",2017,138000,"tramore","munster"
"283577",283627,"2017-11-20","ocean breeze, fenor south, tramore","waterford",270000,"No","No","Second-Hand Dwelling house /Apartment",2017,270000,"tramore","munster"
"283611",283661,"2017-11-21","145 cluain larach, knockenduff, tramore","waterford",171806,"No","Yes","New Dwelling house /Apartment",2017,194999.81,"tramore","munster"
"284702",284752,"2017-11-27","9 ross mhuire, crobally upper, tramore","waterford",175000,"No","No","Second-Hand Dwelling house /Apartment",2017,175000,"tramore","munster"
"284909",284959,"2017-11-28","8 tuar na greine, ard na groi, tramore","waterford",45000,"No","No","Second-Hand Dwelling house /Apartment",2017,45000,"tramore","munster"
"285140",285190,"2017-11-29","8 pebble walk, pebble beach holiday homes, tramore","waterford",85000,"No","No","Second-Hand Dwelling house /Apartment",2017,85000,"tramore","munster"
"285606",285656,"2017-12-01","2 cuil beag, tramore, waterford","waterford",172000,"No","No","Second-Hand Dwelling house /Apartment",2017,172000,"tramore","munster"
"285739",285789,"2017-12-01","6 pebble grove, tramore, waterford","waterford",82000,"No","No","Second-Hand Dwelling house /Apartment",2017,82000,"tramore","munster"
"285770",285820,"2017-12-01","8 the fairways, ballycarnane woods, tramore","waterford",225000,"No","No","Second-Hand Dwelling house /Apartment",2017,225000,"tramore","munster"
"286111",286161,"2017-12-05","132 cluain larach, knockenduff, tramore","waterford",171806,"No","Yes","New Dwelling house /Apartment",2017,194999.81,"tramore","munster"
"286192",286242,"2017-12-05","33 sweepbrair lawn, tramore, co waterford","waterford",161500,"No","No","Second-Hand Dwelling house /Apartment",2017,161500,"tramore","munster"
"286375",286425,"2017-12-06","143 cluain larach, knockanduff, tramore","waterford",255506,"No","Yes","New Dwelling house /Apartment",2017,289999.31,"tramore","munster"
"286376",286426,"2017-12-06","144 cluain larach, knockenduff, tramore","waterford",237885.46,"No","Yes","New Dwelling house /Apartment",2017,269999.9971,"tramore","munster"
"287059",287111,"2017-12-08","36 the strand, somerville, tramore","waterford",257500,"No","No","Second-Hand Dwelling house /Apartment",2017,257500,"tramore","munster"
"287122",287174,"2017-12-08","6 mountfield, tramore","waterford",206735,"No","Yes","New Dwelling house /Apartment",2017,234644.225,"tramore","munster"
"288516",288569,"2017-12-14","5 cuil na greine, ard na groi, tramore","waterford",305000,"No","No","Second-Hand Dwelling house /Apartment",2017,305000,"tramore","munster"
"288876",288929,"2017-12-15","149 cluain larach, knockenduff, tramore","waterford",211454,"No","Yes","New Dwelling house /Apartment",2017,240000.29,"tramore","munster"
"289359",289413,"2017-12-18","131 cluain larach, knockenduff, tramore","waterford",218062,"No","Yes","New Dwelling house /Apartment",2017,247500.37,"tramore","munster"
"289367",289421,"2017-12-18","142 cluain larach, tramore","waterford",238955,"No","Yes","New Dwelling house /Apartment",2017,271213.925,"tramore","munster"
"289744",289798,"2017-12-19","133 cluain larach, knockenduff, tramore","waterford",281938,"No","Yes","New Dwelling house /Apartment",2017,319999.63,"tramore","munster"
"289891",289945,"2017-12-19","4 ros mhuire, monvoy roundabout, tramore","waterford",192000,"No","No","Second-Hand Dwelling house /Apartment",2017,192000,"tramore","munster"
"289892",289946,"2017-12-19","4 ros mhuire, monvoy roundabout, tramore","waterford",192000,"No","No","Second-Hand Dwelling house /Apartment",2017,192000,"tramore","munster"
"289917",289971,"2017-12-19","5 mountfield, tramore, waterford","waterford",216520,"No","Yes","New Dwelling house /Apartment",2017,245750.2,"tramore","munster"
"290306",290360,"2017-12-20","24 pebble lawn, pebble beach, tramore","waterford",77000,"No","No","Second-Hand Dwelling house /Apartment",2017,77000,"tramore","munster"
"290329",290383,"2017-12-20","27 pebble dr, pebble beach, tramore","waterford",92000,"No","No","Second-Hand Dwelling house /Apartment",2017,92000,"tramore","munster"
"290538",290592,"2017-12-20","81 pebble dr, pebble beach, tramore","waterford",83000,"No","No","Second-Hand Dwelling house /Apartment",2017,83000,"tramore","munster"
"290841",290895,"2017-12-21","14 carn dubh, ballycarnane, tramore","waterford",63000,"Yes","No","Second-Hand Dwelling house /Apartment",2017,63000,"tramore","munster"
"291075",291129,"2017-12-21","4 peter st, tramore, waterford","waterford",165000,"No","No","Second-Hand Dwelling house /Apartment",2017,165000,"tramore","munster"
"291270",291324,"2017-12-21","apartment at 3 strand street, tramore, county waterford","waterford",45000,"No","No","Second-Hand Dwelling house /Apartment",2017,45000,"tramore","munster"
"291965",292019,"2017-12-29","39 pepple beach, tramore, co waterford","waterford",55000,"No","No","Second-Hand Dwelling house /Apartment",2017,55000,"tramore","munster"
"292738",292792,"2018-01-11","14 the crescent, fairfield park, old tramore road","waterford",135886,"No","No","Second-Hand Dwelling house /Apartment",2018,135886,"tramore","munster"
"292922",292976,"2018-01-12","2 mountfield, tramore","waterford",190088,"No","Yes","New Dwelling house /Apartment",2018,215749.88,"tramore","munster"
"293222",293276,"2018-01-16","11 doneraile place, tramore, waterford","waterford",105000,"No","No","Second-Hand Dwelling house /Apartment",2018,105000,"tramore","munster"
"293254",293308,"2018-01-16","25 barra glas, tramore, waterford","waterford",225000,"No","No","Second-Hand Dwelling house /Apartment",2018,225000,"tramore","munster"
"293504",293558,"2018-01-18","30 pebble place, pebble beach, tramore","waterford",92000,"No","No","Second-Hand Dwelling house /Apartment",2018,92000,"tramore","munster"
"294197",294251,"2018-01-24","16 pebble walk, pebble beach, tramore","waterford",77500,"No","No","Second-Hand Dwelling house /Apartment",2018,77500,"tramore","munster"
"294521",294575,"2018-01-26","140 cluain larach, knockenduff, tramore","waterford",167639,"No","Yes","New Dwelling house /Apartment",2018,190270.265,"tramore","munster"
"294522",294576,"2018-01-26","141 cluain larach, knockenduff, tramore","waterford",167639,"No","Yes","New Dwelling house /Apartment",2018,190270.265,"tramore","munster"
"294600",294654,"2018-01-26","3 beech court, greenfields, old tramore rd","waterford",161000,"No","No","Second-Hand Dwelling house /Apartment",2018,161000,"tramore","munster"
"294954",295008,"2018-01-30","15 appollonian suites, gallweys hill, tramore","waterford",125000,"No","No","Second-Hand Dwelling house /Apartment",2018,125000,"tramore","munster"
"295209",295263,"2018-01-31","39 the dunes, somerville, tramore","waterford",172500,"No","No","Second-Hand Dwelling house /Apartment",2018,172500,"tramore","munster"
"295391",295445,"2018-02-01","17 pebble walk, pebble beach, tramore","waterford",90000,"No","No","Second-Hand Dwelling house /Apartment",2018,90000,"tramore","munster"
"295793",295847,"2018-02-02","86 sweet briar lawn, tramore, waterford","waterford",30000,"Yes","No","Second-Hand Dwelling house /Apartment",2018,30000,"tramore","munster"
"296232",296286,"2018-02-07","21 pebble walk, pebble beach, tramore","waterford",82000,"No","No","Second-Hand Dwelling house /Apartment",2018,82000,"tramore","munster"
"296401",296455,"2018-02-08","134 cluain larach, knockeenduff, tramore","waterford",255506,"No","Yes","New Dwelling house /Apartment",2018,289999.31,"tramore","munster"
"297019",297073,"2018-02-12","racecourse rd, tramore, waterford","waterford",295000,"No","No","Second-Hand Dwelling house /Apartment",2018,295000,"tramore","munster"
"297890",297945,"2018-02-19","2 the brambles, pickardstown, tramore","waterford",230000,"No","No","Second-Hand Dwelling house /Apartment",2018,230000,"tramore","munster"
"298017",298072,"2018-02-20","135 cluain larach, knockenduff, tramore","waterford",237885,"No","Yes","New Dwelling house /Apartment",2018,269999.475,"tramore","munster"
"298018",298073,"2018-02-20","139 cluain larach, knockenduff, tramore","waterford",185022,"No","Yes","New Dwelling house /Apartment",2018,209999.97,"tramore","munster"
"298387",298442,"2018-02-22","3 mountfield, tramore","waterford",184141,"No","Yes","New Dwelling house /Apartment",2018,209000.035,"tramore","munster"
"298658",298713,"2018-02-23","34 atlantic coast, strand rd, tramore","waterford",89000,"No","No","Second-Hand Dwelling house /Apartment",2018,89000,"tramore","munster"
"299233",299288,"2018-02-28","22 st otterans tce, tramore, waterford","waterford",164250,"No","No","Second-Hand Dwelling house /Apartment",2018,164250,"tramore","munster"
"299369",299424,"2018-03-01","1 mountfield, tramore","waterford",180616.74,"No","Yes","New Dwelling house /Apartment",2018,204999.9999,"tramore","munster"
"299486",299541,"2018-03-05","8 mountfield, tramore","waterford",190088,"No","Yes","New Dwelling house /Apartment",2018,215749.88,"tramore","munster"
"299567",299622,"2018-03-06","136 cluain larach, knockenduff, tramore","waterford",185022,"No","Yes","New Dwelling house /Apartment",2018,209999.97,"tramore","munster"
"299845",299900,"2018-03-07","7 st leger place, tramore, waterford","waterford",318500,"No","No","Second-Hand Dwelling house /Apartment",2018,318500,"tramore","munster"
"299933",299988,"2018-03-08","138 cluain larach, knockenduff, tramore","waterford",211453.74,"No","Yes","New Dwelling house /Apartment",2018,239999.9949,"tramore","munster"
"300028",300083,"2018-03-08","44 pebble dr, pebble beach tramore, waterford","waterford",81500,"No","No","Second-Hand Dwelling house /Apartment",2018,81500,"tramore","munster"
"300513",300568,"2018-03-12","4 atlantic coast apts, strand road, tramore","waterford",85000,"No","No","Second-Hand Dwelling house /Apartment",2018,85000,"tramore","munster"
"300729",300784,"2018-03-13","7 mountfield, tramore","waterford",190088,"No","Yes","New Dwelling house /Apartment",2018,215749.88,"tramore","munster"
"301742",301797,"2018-03-20","7a cluain mhor, crobally tramore waterford, waterford","waterford",242000,"No","No","Second-Hand Dwelling house /Apartment",2018,242000,"tramore","munster"
"301850",301905,"2018-03-21","137 cluain larach, knockenduff, tramore","waterford",211454,"No","Yes","New Dwelling house /Apartment",2018,240000.29,"tramore","munster"
"302029",302084,"2018-03-22","18 the dunes, somerville, tramore","waterford",2e+05,"No","No","Second-Hand Dwelling house /Apartment",2018,2e+05,"tramore","munster"
"302120",302175,"2018-03-22","9 an carn, tramore, waterford","waterford",185000,"No","No","Second-Hand Dwelling house /Apartment",2018,185000,"tramore","munster"
"302195",302250,"2018-03-23","10 ard na groi, tramore, waterford","waterford",319000,"No","No","Second-Hand Dwelling house /Apartment",2018,319000,"tramore","munster"
"302325",302380,"2018-03-23","33 pebble lawn, pebble beach, tramore","waterford",108000,"No","No","Second-Hand Dwelling house /Apartment",2018,108000,"tramore","munster"
"302339",302394,"2018-03-23","40 the strand, somerville, tramore","waterford",180000,"No","No","Second-Hand Dwelling house /Apartment",2018,180000,"tramore","munster"
"302372",302427,"2018-03-23","6 ross mhuire, crobally upper, tramore","waterford",175000,"No","No","Second-Hand Dwelling house /Apartment",2018,175000,"tramore","munster"
"302403",302458,"2018-03-23","9 mountfield, monloum, tramore","waterford",207047,"No","Yes","New Dwelling house /Apartment",2018,234998.345,"tramore","munster"
"302509",302564,"2018-03-26","10 mountfield, tramore","waterford",216520,"No","Yes","New Dwelling house /Apartment",2018,245750.2,"tramore","munster"
"303032",303087,"2018-03-28","31 tramore holiday villas, tramore, co waterford","waterford",90000,"No","No","Second-Hand Dwelling house /Apartment",2018,90000,"tramore","munster"
"303104",303159,"2018-03-28","58 pebble dr, pebble beach, tramore","waterford",85000,"No","No","Second-Hand Dwelling house /Apartment",2018,85000,"tramore","munster"
"303157",303212,"2018-03-28","84 glenside, ballycarnane woods, tramore","waterford",209000,"No","No","Second-Hand Dwelling house /Apartment",2018,209000,"tramore","munster"
"303650",303705,"2018-03-30","4 mountfield, tramore","waterford",180617,"No","Yes","New Dwelling house /Apartment",2018,205000.295,"tramore","munster"
"303692",303747,"2018-04-03","2 bramble court, tramore, waterford","waterford",280000,"No","No","Second-Hand Dwelling house /Apartment",2018,280000,"tramore","munster"
"303696",303751,"2018-04-03","22 gleann doire, tramore, waterford","waterford",160000,"No","No","Second-Hand Dwelling house /Apartment",2018,160000,"tramore","munster"
"303705",303760,"2018-04-03","3 spruce cove, ballycarnane, tramore","waterford",445000,"No","No","Second-Hand Dwelling house /Apartment",2018,445000,"tramore","munster"
"303766",303821,"2018-04-04","114 cluain larach, knockenduff, tramore","waterford",185022,"No","Yes","New Dwelling house /Apartment",2018,209999.97,"tramore","munster"
"303876",303931,"2018-04-04","82 glenside, ballycarnane woods, tramore","waterford",182000,"No","No","Second-Hand Dwelling house /Apartment",2018,182000,"tramore","munster"
"304686",304741,"2018-04-10","ballyknock, tramore, waterford","waterford",217500,"No","No","Second-Hand Dwelling house /Apartment",2018,217500,"tramore","munster"
"304848",304903,"2018-04-11","64 pebble beach, tramore, waterford","waterford",88000,"No","No","Second-Hand Dwelling house /Apartment",2018,88000,"tramore","munster"
"305202",305257,"2018-04-13","5 atlantic coast, riverstown, tramore","waterford",88000,"No","No","Second-Hand Dwelling house /Apartment",2018,88000,"tramore","munster"
"305216",305271,"2018-04-13","57 the strand, somerville, tramore","waterford",190000,"No","No","Second-Hand Dwelling house /Apartment",2018,190000,"tramore","munster"
"305467",305522,"2018-04-17","115 cluain larach, knockenduff, tramore","waterford",167639,"No","Yes","New Dwelling house /Apartment",2018,190270.265,"tramore","munster"
"305468",305523,"2018-04-17","116 cluain larach, knockenduff, tramore","waterford",167639,"No","Yes","New Dwelling house /Apartment",2018,190270.265,"tramore","munster"
"306226",306281,"2018-04-20","43 glenside, ballycarnane woods, tramore","waterford",230000,"No","No","Second-Hand Dwelling house /Apartment",2018,230000,"tramore","munster"
"307989",308046,"2018-05-03","118 cluain larach, knockenduff, tramore","waterford",255506,"No","Yes","New Dwelling house /Apartment",2018,289999.31,"tramore","munster"
"307996",308053,"2018-05-03","15 the court, fairfield park, old tramore rd","waterford",143900,"No","No","Second-Hand Dwelling house /Apartment",2018,143900,"tramore","munster"
"308176",308233,"2018-05-03","roundwood  house, corbally upper, tramore","waterford",278000,"No","No","Second-Hand Dwelling house /Apartment",2018,278000,"tramore","munster"
"308265",308322,"2018-05-04","18 pebble lawn, pebble beach, tramore","waterford",75000,"No","No","Second-Hand Dwelling house /Apartment",2018,75000,"tramore","munster"
"308878",308935,"2018-05-10","15 ardleigh, bracken grove, old tramore rd","waterford",121000,"No","No","Second-Hand Dwelling house /Apartment",2018,121000,"tramore","munster"
"308898",308955,"2018-05-10","2 bellevue terrace, train hill, tramore","waterford",140000,"No","No","Second-Hand Dwelling house /Apartment",2018,140000,"tramore","munster"
"309061",309118,"2018-05-11","12 mountfield, tramore","waterford",189427,"No","Yes","New Dwelling house /Apartment",2018,214999.645,"tramore","munster"
"309476",309533,"2018-05-15","117 cluain larach, knockenduff, tramore","waterford",275152.75,"No","Yes","New Dwelling house /Apartment",2018,312298.37125,"tramore","munster"
"309893",309950,"2018-05-17","4 powerscourt, priests rd, tramore","waterford",202000,"No","No","Second-Hand Dwelling house /Apartment",2018,202000,"tramore","munster"
"310028",310085,"2018-05-18","11 mountfield, tramore","waterford",190088,"No","Yes","New Dwelling house /Apartment",2018,215749.88,"tramore","munster"
"310147",310204,"2018-05-18","5 main st, tramore, waterford","waterford",71000,"No","No","Second-Hand Dwelling house /Apartment",2018,71000,"tramore","munster"
